255,255,255
255,192,203
255,240,245
219,112,147
255,20,147
199,21,133
216,191,216
221,160,221
55,0,255
255,0,255
128,0,128
186,85,211
153,50,204
75,0,130
147,112,219
123,104,238
72,61,139
230,230,250
0,0,205
25,25,112
65,105,225
100,149,237
112,128,144
30,144,255
70,130,180
135,206,250
0,191,255
173,216,230
95,158,160
240,255,255
175,238,238
0,255,255
47,79,79
0,139,139
72,209,204
32,178,170
245,255,250
0,255,127
46,139,87
240,255,240
152,251,152
240,160,120
0,255,0
34,139,34
127,255,0
173,255,47
85,107,47
250,250,210
255,255,240
255,255,0
128,128,0
255,250,205
238,232,170
255,215,0
255,248,220
255,250,240
253,245,230
255,228,181
255,165,0
255,239,213
255,222,173
250,235,215
0,252,124
255,228,196
203,192,255
205,133,63
128,249,237
210,105,30
255,245,238
160,82,45
255,127,80
255,69,0
255,99,71
255,228,225
255,250,250
240,128,128
205,92,92
50,205,50
178,34,34
139,0,0
